ab_speed,total_force,FlexXForce,LatXForce
0.00067,42.05505588,4.760211775,5.496553748
0.00148,42.3845919,4.800055033,5.531570704
0.00011,42.73111839,4.839299158,5.573077923
0.00012,43.03341085,4.873533779,5.608458369
0.00001,43.03873277,4.874566874,5.606010137
0.00001,42.81349774,4.849484889,5.573289882
0.00118,42.62507883,4.830273933,5.543604627
0.00048,42.15903577,4.778305114,5.481475672
0.00036,41.95965141,4.756546084,5.454419006
0.00016,41.54423359,4.709869762,5.399919482
0.00005,41.27678947,4.67996239,5.364950711
0.00014,41.0020776,4.648405538,5.32912203
0.00086,40.9971791,4.646620279,5.329223311
0.00194,40.96779599,4.64083193,5.325772511
0.0019,40.84555229,4.624941886,5.308451358
0.00045,40.21348814,4.555786071,5.221761648
0.00005,40.05476086,4.539406048,5.197585879
0.00003,39.56063925,4.485385278,5.129907213
0.00022,39.35447433,4.463584479,5.099946328
0.00021,39.02101246,4.427714284,5.053338177
0.00017,38.85707148,4.411054754,5.02915419
0.00072,38.52065435,4.375175921,4.983571136
0.00132,38.3814118,4.362815079,4.963292267
0.00131,38.04682506,4.327445882,4.91850331
0.00139,37.90471983,4.314315211,4.898692277
0.00057,37.62494551,4.283600046,4.861895459
0.00014,37.60973114,4.282243988,4.859214873
0.00102,37.60192371,4.280979014,4.857040486
0.00305,37.58459213,4.277878276,4.851381568
0.00187,37.64076466,4.284271834,4.855395156
0.00111,37.80014866,4.303924926,4.871569759
0.00057,38.22700572,4.356349572,4.922223938
0.00134,38.45800824,4.38844332,4.946392104
0.00038,38.91028707,4.443165681,4.998493298
0.00013,39.12262897,4.471716491,5.020059259
0.00032,39.57838252,4.528162744,5.072246769
0.00112,39.77580614,4.554329803,5.094604578
0.00135,40.15157955,4.600166469,5.140124911
0.00183,40.32883859,4.624104633,5.160599172
0.00075,40.66059409,4.663770142,5.202075747
0.00084,40.79799441,4.681161879,5.218185879
0.00003,41.05443319,4.710996209,5.250369352
0.00091,41.17359671,4.725081958,5.263056173
0.0021,41.40667373,4.753486144,5.286969729
0.00264,41.49396537,4.765581923,5.289443236
0.00034,41.62062119,4.7838742,5.299928282
0.00141,41.62419701,4.790945076,5.292017159
0.00072,41.64460539,4.799124325,5.282035169
0.00048,41.71138356,4.81099098,5.282788439
0.0003,41.76913449,4.820993503,5.282625977
0.00052,41.76398719,4.82415816,5.271032823
0.00104,41.6966731,4.819301477,5.257325028
0.00155,41.64769376,4.816555783,5.247942595
0.00162,41.52184097,4.804907437,5.22921913
0.0007,41.44752693,4.797551242,5.218575221
0.00023,41.28153353,4.778750321,5.197221227
0.00006,41.19167046,4.768347772,5.185289861
0.00025,41.00200901,4.746392563,5.160102834
0.00123,40.90347862,4.734986685,5.142303525
0.0014,40.72612924,4.714863982,5.1131248
0.00121,40.6148332,4.703603833,5.087129703
0.00067,40.41833039,4.683271942,5.046228549
0.00189,40.3337972,4.677107123,5.02345344
0.00059,40.10793997,4.653323195,4.983331325
0.0006,40.00478865,4.642155675,4.956033247
0.00024,39.82603175,4.623005766,4.923294045
0.00023,39.73780435,4.613956463,4.90177738
0.00122,39.53695682,4.593403643,4.8686204
0.00126,39.4506785,4.585746869,4.853419722
0.0004,39.29579254,4.568528841,4.832596567
0.00043,39.28726931,4.568323675,4.830448336
0.00023,39.24061201,4.563290771,4.824044637
0.00001,39.13330979,4.551203929,4.809953373
0.00054,39.08715755,4.54505468,4.801114649
0.00239,39.07982146,4.541075254,4.786613772
0.00232,39.09380378,4.539963433,4.773978942
0.00057,39.12043938,4.542274216,4.768429476
0.00007,39.18467486,4.550516291,4.764151139
0.00021,39.21978099,4.555377562,4.751554907
0.00154,39.29777807,4.568759678,4.748507715
0.00108,39.33952993,4.576760912,4.742104956
0.00058,39.43713255,4.588510372,4.737858793
0.00009,39.48031408,4.595508559,4.731241879
0.00081,39.58446004,4.61119375,4.733905576
0.00102,39.62858307,4.619107643,4.734426819
0.00127,39.71515411,4.633169878,4.741711395
0.00045,39.77083854,4.640859149,4.746808663
0.00025,39.85617848,4.650817467,4.753287702
0.00185,39.89720664,4.65321121,4.745453552
0.0019,39.98538839,4.661096725,4.743146742
0.00238,40.02349798,4.66233728,4.731417837
0.00093,40.10323967,4.670423292,4.733385378
0.0007,40.11142912,4.671377035,4.724123565
0.00072,40.12016432,4.676807555,4.708382124
0.00003,40.14332293,4.680711454,4.701425408
