ab_speed,total_power,flexionXPower,lateralXPower
0.00031,0,0,0
0.00024,0,0,0
0.00023,0,0,0
0.00019,0,0,0
0.00021,0,0,0
0.00022,0,0,0
0.0002,0,0,0
0.00021,0,0,0
0.00023,0,0,0
0.00022,0,0,0
0.00018,0,0,0
0.00029,0,0,0
0.00005,0,0,0
0.00004,0,0,0
0.00001,0,0,0
0.00005,0,0,0
0.00025,0,0,0
0.00019,0,0,0
0.00008,0,0,0
0.00021,0,0,0
0.0003,0,0,0
0.00018,0,0,0
0.00016,0,0,0
0.00018,0,0,0
0.00019,0,0,0
0.00014,0.00179277,0.000486302,0.000496057
0.00015,0.00395044,0.001071674,0.001089079
0.00011,0.00719791,0.001952807,0.001979207
0.00011,0.0083736,0.002272148,0.00229664
0.00013,0.00991823,0.002691721,0.002709745
0.00008,0.01187316,0.003222537,0.00323413
0.00007,0.01256984,0.003411906,0.003413699
0.00008,0.0130005,0.003529093,0.003520292
0.00012,0.01343182,0.003647078,0.003626662
0.00004,0.01343608,0.003648535,0.003617529
0.00003,0.01344034,0.003649992,0.003608484
0.00011,0.01356523,0.003684817,0.003633267
0.00007,0.01410321,0.003831583,0.003768412
0.00007,0.01425511,0.003873806,0.003800211
0.00003,0.01484174,0.004034217,0.003944134
0.00005,0.01501268,0.004080345,0.003979294
0.00008,0.01518645,0.004127236,0.004014645
0.00009,0.01567325,0.004258834,0.004132338
0.00007,0.01587315,0.004313506,0.004171375
0.00015,0.01608059,0.004372033,0.004217855
0.00001,0.01643048,0.004467896,0.004300023
0.00012,0.01643854,0.004471556,0.004303181
0.0002,0.01644662,0.004476325,0.004308443
0.0001,0.01669351,0.004544268,0.004374658
0.00007,0.01708102,0.004650899,0.004475723
0.00008,0.01725268,0.004699566,0.004511655
0.00002,0.01777828,0.004844326,0.004638771
0.00003,0.01792461,0.0048854,0.004666853
0,0.01810531,0.004936268,0.004700107
